Producto;Categoría del producto
[POW165993162221, 6927867896550]  POWER BANK TOXIIK-TOK-133 30000MAH 22.5W 4 PUERTOS ( 2 USB / 1PD / 1 LIGHTNING);SUPPLY / BATERIAS 14350201 / POWER BANKS
[EQU169547165476, 810084698747]  PUNTO DE ACCESO WIFI 7 INALAMBRICO UNIFI U7;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / EQUIPOS Y PARTES ELECTRONICAS DE OFICINAS
[BIS172074,]  SET ZARCILLO TP-01/TP-33 X 12 UNID;BELLEZA Y CUIDADO PERSONAL AEDOS / ACCESORIOS DIVERSOS / Bisuteria
[UTIL9767,]  TABLET SCANNER XT802C / 4GB+64GB 5 PULGADAS;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / EQUIPOS Y PARTES ELECTRONICAS DE OFICINAS
[UTIL9766,]  TABLET SCANNER XT802D / 4GB+64GB 8 PULGADAS;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / EQUIPOS Y PARTES ELECTRONICAS DE OFICINAS
[UTIL3733,]  TAPA 0.9 DE RADIADOR ALTA CENTURY;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[PAN155751, PTCP3897]  [ CTO ] PANTALLA COMPLETA XIAOMI REDMI 8A;SUPPLY / PANTALLAS 14350211 / PANTALLAS COMPLETAS GAMA BAJA
[TRON1689,]  [ SAM - LAR ] SMARTPHONE IPHONE 12 PRO 128GB;TECH / TELEFONIA 14350401 / SMARTPHONE GAMA ALTA
[PAN155756, PTCP4042]  [ THA ] PANTALLA COMPLETA SAMSUNG A04E;SUPPLY / PANTALLAS 14350211 / PANTALLAS COMPLETAS GAMA MEDIA
[SMA163824, SMA163824MKC, 8340506880303] 6920260312028;TECH / SMARTWATCHES Y ACCESORIOS 14350405 / SMARTWATCHES
[OTR171983,] ABANICO 7513-4;BELLEZA Y CUIDADO PERSONAL AEDOS / ACCESORIOS DIVERSOS / Otros Accesorios Diversos
[OTR167643,] ABANICO COLORES VARIADOS KNV-7152 / KNV-3198;BELLEZA Y CUIDADO PERSONAL AEDOS / ACCESORIOS DIVERSOS / Otros Accesorios Diversos
[OTR168736,] ABANICO UNICOLOR KNV-0704;BELLEZA Y CUIDADO PERSONAL AEDOS / ACCESORIOS DIVERSOS / Otros Accesorios Diversos
"[MAT172005,] ABRAZADERA 1"" ELECTRICIDAD ";INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[MAT172004,] ABRAZADERA 3/4 ELECTRICIDAD;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[UTIL3073,] ABRAZADERA ACERO INOXIDABLE LENOX (25 - 40 MM);INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[UTIL3865,] ABRAZADERA DE 3 PULGADAS;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[UTIL3591, 7591507000295] ABRAZADERA EMT GALVANIZADA TIPO UÑA 3/4 PULGADA (UNIDAD);INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[UTIL3481,] ABRAZADERA EMT P/TUBO 1 PULGADA 2 PATAS OMEGA;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[UTIL3780,] ABRAZADERA PARA TUBO 3/4 PULGADAS;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[UTIL1330,] ABRAZADERA TIPO UÑA DE 1 PULGADA 1 PATA EMT GALVANIZADA;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[DES168763164735, 6992022121501] ABRE LATAS HENGLIZI / Z-50;HOGAR Y DECORACION  AEDOS / ACCESORIOS DE USO FRECUENTE / Destapadores y Abrelatas
[VEN163187,] ACCESORIOS CONTROLES GAMER;INVENTARIO PDVSA / CANGURO / VENTAS MAYOR
[BGTL0563,] ACCESORIOS ICOPY 4 EN 1 IPHONE X / XR / XS / XS MAX;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[BGTL0181,] ACCESORIOS ICOPY QIANLI 5G HASTA X;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[BGTL0197,] ACCESORIOS ICOPY QIANLI 7G HASTA 11 PRO MAX;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[BGTL0196,] ACCESORIOS ICOPY QIANLI LIGHTNING;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Grandes
[VEN163197,] ACCESORIOS PARA ALTAVOCES;INVENTARIO PDVSA / CANGURO / VENTAS MAYOR
[VEN163192,] ACCESORIOS SMARTWATCHES;INVENTARIO PDVSA / CANGURO / VENTAS MAYOR
[VEN163177,] ACCESORIOS TV;INVENTARIO PDVSA / CANGURO / VENTAS MAYOR
[UTIL2514, 79191265116] ACEITE CASTROL MAGNATEC 10W-30 ( POR LITRO );INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[UTIL10527, 31508013568] ACEITE DE MOTOR DIESEL 15W40;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[UTIL3704, 7592381000296] ACEITE INCA - 15W-50 SEMISINTETICO ( POR LITRO );INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[UTIL4039, 0769503896968] ACEITE MINERAL BENZOL SAE-80W-90 API GL-5 ( POR LITRO );INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[SUM162470, 7700428120061] ACEITE MULTIUSOS XPLORN 40 200ML ;FERRETERIA Y HERRAMIENTAS PARA EL HOGAR / FERRETERIA GENERAL / Suministros para Maquinarias y Vehiculos
[UTIL2989,] ACEITE SEMI SINTETICO LUBRIKON 10W30 1LT;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[OTR171349,] ACEITE SEMI SINTETICO LUBRIKON 20W50 1LT;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[UTIL3162, 5011987042377] ACEITE SHELL HELIX 0W-20;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[UTIL2513, 21400086630] ACEITE SHELL HELIX HX7 10W-30 ( POR LITRO );INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[UTIL3191, 021400059290] ACEITE SHELL HELIX ULTRA 5W-40;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[UTIL4215, 7596596001673] ACEITE SINTETICO EMKAR OIL  TIPO POE 68H  946CM3;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[UTIL5435,] ACOPLE ADAPTADOR PARA SELLADOR  DE FUGA;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[ACCA0002,] ACRILICO PARA AIRPODS MIXPH;CANGURO / Accesorio 14350101 / Acrílicos y Case
[ACCA0001,] ACRILICO PARA AIRPODS OAOKA;CANGURO / Accesorio 14350101 / Acrílicos y Case
[VEN163180,] ACRILICOS Y CASE;INVENTARIO PDVSA / CANGURO / VENTAS MAYOR
[VEN163189,] ADAPTADOR;INVENTARIO PDVSA / CANGURO / VENTAS MAYOR
[UTIL1955, DISP4K] ADAPTADOR  DISPLAYPORT A HDMI ;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / EQUIPOS Y PARTES ELECTRONICAS DE OFICINAS
[UTIL1258,] ADAPTADOR / CONECTOR TUBRICA DE PVC MACHO DE 1 PULGADA PARA AGUA FRIA;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[CGCB0828,] ADAPTADOR / USB A TIPO C;CANGURO / Cargadores y Cables 14350108 / Adaptador
[CGCB1501, CGCB24060301] ADAPTADOR AEDOS AD-01 PD25W;CANGURO / Cargadores y Cables 14350108 / Cargadores
[ADA161047, 6978252854716, 6978252854723] ADAPTADOR ANKER A121CP11, A121CP21 DE 4 PUERTOS 70W ;CANGURO / Cargadores y Cables 14350108 / Adaptador
[ACCR0274,] ADAPTADOR BLUETOOTH BT-350 RECEIVER;CANGURO / Accesorio 14350101 / Linea Accesorios
[ACCR0699,] ADAPTADOR BLUETOOTH BT-RECEIVER X6;CANGURO / Accesorio 14350101 / Linea Accesorios
[ADA166891163090, ADA166891LTC] ADAPTADOR BLUETOOTH CAR WIRELESS BT- X6;CANGURO / Cargadores y Cables 14350108 / Adaptador
[ACCR9171, ACCR23112077] ADAPTADOR BLUETOOTH FM AUTO M10;CANGURO / Accesorio 14350101 / Linea Accesorios
[ACCR9173, ACCR23112078] ADAPTADOR BLUETOOTH FM AUTO M14;CANGURO / Accesorio 14350101 / Linea Accesorios
[ACCR9172, ACCR23112076] ADAPTADOR BLUETOOTH FM AUTO M7;CANGURO / Accesorio 14350101 / Linea Accesorios
[ADA166892163091, ADA166892LTC] ADAPTADOR BLUETOOTH WIRELESS BT-RECEIVER;CANGURO / Cargadores y Cables 14350108 / Adaptador
[LIN159080,] ADAPTADOR CON BLUETHOOTH 2 EN 1 Y AUXILIAR USB BT5.0;CANGURO / Accesorio 14350101 / Linea Accesorios
[EQU159079,] ADAPTADOR DE ANTENA WIFI USB 150 MBPS / 2.4GHZ;CANGURO / Equipos Electrónicos 14350119 / EQUIPOS Y DISPOSITIVOS DE RED
[EQU159072,] ADAPTADOR DE ANTENA WIFI USB 2.4 + 5GHZ;CANGURO / Equipos Electrónicos 14350119 / EQUIPOS Y DISPOSITIVOS DE RED
[CAR41662,] ADAPTADOR DE AUDIO 2 EN 1 / AUXILIAR;CANGURO / Cargadores y Cables 14350108 / Cargadores
[ACCR1162,] ADAPTADOR DE CARRO BLUETHOOT GENERICO FM MODULATOR;CANGURO / Accesorio 14350101 / Linea Accesorios
[ACCR9992, ACCR23112075] ADAPTADOR DE CARRO F03;CANGURO / Accesorio 14350101 / Linea Accesorios
[ACCR1011, FM23803] ADAPTADOR DE CARRO MULTIFUNCIONAL Q5;CANGURO / Accesorio 14350101 / Linea Accesorios
[ACCR1007, FM23816] ADAPTADOR DE CARRO RAINBOW LED P18;CANGURO / Accesorio 14350101 / Linea Accesorios
[ACCR1008, FM23817, FM23880] ADAPTADOR DE CARRO RAINBOW LED P19;CANGURO / Accesorio 14350101 / Linea Accesorios
[ACCR1016, FM23818] ADAPTADOR DE CARRO RAINBOW LED P20;CANGURO / Accesorio 14350101 / Linea Accesorios
[ACCR1010, FM23815] ADAPTADOR DE CARRO RAINBOW LED P22;CANGURO / Accesorio 14350101 / Linea Accesorios
[ACCR1009, FM23814] ADAPTADOR DE CARRO RAINBOW LED P5;CANGURO / Accesorio 14350101 / Linea Accesorios
[ADA160785,] ADAPTADOR DE VIAJE TRES TOMAS MAS USB Y TIPO C;CANGURO / Cargadores y Cables 14350108 / Adaptador
[CON162253,] ADAPTADOR DE VIDEO BALUN;FERRETERIA Y HERRAMIENTAS PARA EL HOGAR / MATERIALES ELECTRICOS, ILUMINACION Y ACCESORIOS / CONECTORES Y TOMACORRIENTE
[ADA159102,] ADAPTADOR DISPLAYPORT HDMI A VGA;CANGURO / Cargadores y Cables 14350108 / Adaptador
[CGCB1483, 194252157053] ADAPTADOR DOBLE PUERTO TIPO C 50W;CANGURO / Cargadores y Cables 14350108 / Cargadores
[ADA41656, CGCB0261, CAR41656] ADAPTADOR EUROPEO - BLANCO;CANGURO / Cargadores y Cables 14350108 / Adaptador
[CGCB0262, ADPT2372501, CAR41657] ADAPTADOR EUROPEO - NEGRO;CANGURO / Cargadores y Cables 14350108 / Cargadores
[ADA156343,] ADAPTADOR FLY ENERGY C-70 67W ;CANGURO / Cargadores y Cables 14350108 / Adaptador
[ADA159099,] ADAPTADOR HD EXTENDER CAT-5E/6 RJ45 A HDMI  SUPPORT 4K / HD 2.0 2K;CANGURO / Cargadores y Cables 14350108 / Adaptador
[EQU159078,] ADAPTADOR HDTV / HDMI A VGA;CANGURO / Equipos Electrónicos 14350119 / EQUIPOS Y DISPOSITIVOS DE RED
[EQU157131, 6920250626123] ADAPTADOR HDTV 8 IN 1 TIPO C;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / EQUIPOS Y PARTES ELECTRONICAS DE OFICINAS
[EQU159075,] ADAPTADOR HDTV A VGA;CANGURO / Equipos Electrónicos 14350119 / EQUIPOS Y DISPOSITIVOS DE RED
[ADA159110,] ADAPTADOR HUB TIPO USB/C CON 4 PUERTOS;CANGURO / Cargadores y Cables 14350108 / Adaptador
[EQU158775, 0137024803079] ADAPTADOR HUB USB-C 5 EN 1 USB*3 USB-C*3 GL-307;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / EQUIPOS Y PARTES ELECTRONICAS DE OFICINAS
[ACCR9106, 6934301900537] ADAPTADOR INALAMBRICO PARA SONIDO Q2;CANGURO / Accesorio 14350101 / Linea Accesorios
[ACCR0441, ACCR0441] ADAPTADOR INALAMBRICO USB TENDA U12 DOBLE BANDA;CANGURO / Equipos Electrónicos 14350119 / EQUIPOS Y DISPOSITIVOS DE RED
[ACCR9125,] ADAPTADOR KOUDER USB KOD-140;CANGURO / Equipos Electrónicos 14350119 / EQUIPOS Y DISPOSITIVOS DE RED
[ADA159115,] ADAPTADOR MINI HDMI HEMBRA A HDMI MACHO ;CANGURO / Cargadores y Cables 14350108 / Adaptador
[EQU166648162850, 6925149725314] ADAPTADOR MULTIFUNCIONAL TOXIIK TOK-TC1101 USB - TIPO C 11 EN 1 HUB;CANGURO / Equipos Electrónicos 14350119 / EQUIPOS Y DISPOSITIVOS DE RED
[EQU166647162849, 6925139972469] ADAPTADOR MULTIFUNCIONAL TOXIIK TOK-TC801 USB - TIPO C 8 EN 1 HUB ;CANGURO / Equipos Electrónicos 14350119 / EQUIPOS Y DISPOSITIVOS DE RED
[EQU166646162848, 6925131059748] ADAPTADOR MULTIFUNCIONAL TOXIIK TOK-U802 USB - TIPO C 8 EN 1 HUB ;CANGURO / Equipos Electrónicos 14350119 / EQUIPOS Y DISPOSITIVOS DE RED
[ACCR9105, 6908620061125] ADAPTADOR MULTIPUERTO USB 4 PUERTOS HUB;CANGURO / Equipos Electrónicos 14350119 / EQUIPOS Y DISPOSITIVOS DE RED
[CAR41658,] ADAPTADOR MY-K3 EUROPEO;CANGURO / Cargadores y Cables 14350108 / Cargadores
[UTIL4507, MUSO0041, USO041] ADAPTADOR NEGRO;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / EQUIPOS Y PARTES ELECTRONICAS DE OFICINAS
[CGCB0795,] ADAPTADOR OSBLACK EUROPEO - ITEM 310;CANGURO / Cargadores y Cables 14350108 / Adaptador
[ADA159732, 6969202212106] ADAPTADOR OTG APPLE LIGHTNING A AUDIFONOS ;CANGURO / Cargadores y Cables 14350108 / Adaptador
[ADA156481, 0137024800085] ADAPTADOR OTG GJ-008 / AUXILIAR A LIGHTINING;CANGURO / Cargadores y Cables 14350108 / Adaptador
[ADA156482, 0137024800122] ADAPTADOR OTG GJ-012 2 EN 1 AUXILIAR - TIPO C A LIGHTNING;CANGURO / Cargadores y Cables 14350108 / Adaptador
[LIN158715, 6926011918513] ADAPTADOR OTG HEMBRA LIGHTNING MACHO TIPO C;CANGURO / Accesorio 14350101 / Linea Accesorios
[ADA158717, LIN158717,] ADAPTADOR OTG HEMBRA MICRO MACHO TIPO C;CANGURO / Cargadores y Cables 14350108 / Adaptador
[LIN158714,] ADAPTADOR OTG HEMBRA TIPO C MACHO LIGTNING;CANGURO / Accesorio 14350101 / Linea Accesorios
[LIN158718, 2020120180128] ADAPTADOR OTG HEMBRA TIPO C MACHO USB;CANGURO / Accesorio 14350101 / Linea Accesorios
[ACCR8991,] ADAPTADOR OTG HEMBRA USB MACHO LIGHTNING;CANGURO / Accesorio 14350101 / Linea Accesorios
[ADA160784,] ADAPTADOR OTG HEMBRA USB MACHO MICRO;CANGURO / Cargadores y Cables 14350108 / Adaptador
[ACCR8992, ACCR8992] ADAPTADOR OTG HEMBRA USB MACHO TIPO C;CANGURO / Accesorio 14350101 / Linea Accesorios
[ADA159721, 6996071502021] ADAPTADOR OTG HI-TREEK 3 EN 1 AUXILIAR - USB A TIPO C 128GB;CANGURO / Cargadores y Cables 14350108 / Adaptador
[ADA159702, 6996071502038] ADAPTADOR OTG HI-TREEK 3 EN 1 AUXILIAR - USB A TIPO C 256GB;CANGURO / Cargadores y Cables 14350108 / Adaptador
[ADA159487, 6996071502007] ADAPTADOR OTG HI-TREEK 3 EN 1 AUXILIAR - USB A TIPO C 32GB;CANGURO / Cargadores y Cables 14350108 / Adaptador
[ADA159488, 6996071502014] ADAPTADOR OTG HI-TREEK 3 EN 1 AUXILIAR - USB A TIPO C 64GB;CANGURO / Cargadores y Cables 14350108 / Adaptador
[ADA166758162957, ADA166758LTC] ADAPTADOR OTG TIPO C ;CANGURO / Cargadores y Cables 14350108 / Adaptador
[ACCR10378, 6983646411967, 6983646411963] ADAPTADOR OTG TIPO C A LIGHTNING;CANGURO / Accesorio 14350101 / Linea Accesorios
[UTIL10253, 6966884625422] ADAPTADOR OTG TIPO C A USB KY105;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / EQUIPOS Y PARTES ELECTRONICAS DE OFICINAS
[ADA162771, 6933138603666] ADAPTADOR OTG TOXIIK LIGHTNING MACHO A USB-C HEMBRA TOK270;CANGURO / Cargadores y Cables 14350108 / Adaptador
[ADA162773, 6933138603659] ADAPTADOR OTG TOXIIK USB-C MACHO A LIGHTNING HEMBRA TOK260;CANGURO / Cargadores y Cables 14350108 / Adaptador
[ADA163081, 6933138603680] ADAPTADOR OTG TOXIIK USB-C MACHO A LIGHTNING HEMBRA TOK290;CANGURO / Cargadores y Cables 14350108 / Adaptador
[UTIL1638,] ADAPTADOR OTG USB - TIPO C;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / EQUIPOS Y PARTES ELECTRONICAS DE OFICINAS
[ACCR10377,] ADAPTADOR OTG USB A LIGHTNING;CANGURO / Accesorio 14350101 / Linea Accesorios
[ACCR10025, ACCR10025] ADAPTADOR PARA CARRO  FA STREAMER F40;CANGURO / Equipos Electrónicos 14350119 / EQUIPOS Y DISPOSITIVOS DE RED
[ADA162787, 6933138691410] ADAPTADOR PORTATIL MACHO TIPO C A USB HEMBRA TOXIIK TOK140;CANGURO / Cargadores y Cables 14350108 / Adaptador
[UTIL10221,] ADAPTADOR PVC ROSCA-PEGA HEMBRA/ MACHO 1/2 X 1/2 PULGADAS;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[ADA159084,] ADAPTADOR RCA A HDMI 1080P;CANGURO / Cargadores y Cables 14350108 / Adaptador
[UTIL10085,] ADAPTADOR ROSCA PEGA  MACHO AGUA FRIA 3/4;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[UTIL10086,] ADAPTADOR ROSCA-PEGA  HEMBRA AGUA CALIENTE 3/4X3/4 PULGADA;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[UTIL10080,] ADAPTADOR ROSCA-PEGA  HEMBRA AGUA CALIENTE DE 3/4/1/2;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[ADA170948166862, ADA170948LTC] ADAPTADOR SAMSUNG EP-T2510 TIPO C 1 PUERTO 25W;CANGURO / Cargadores y Cables 14350108 / Adaptador
[CGCB1066, CGCB2331382] ADAPTADOR SAMSUNG EP-T4511 (1PD) 45W;CANGURO / Cargadores y Cables 14350108 / Conectores
[CON4316441328, CGCB1060, CGCB2331381, 8806092013681, 8806092013698] ADAPTADOR SAMSUNG EP-TA800 (1PD) TIPO C 25W;CANGURO / Cargadores y Cables 14350108 / Conectores
[CON162618, CON162618TKA, 2233069559009] ADAPTADOR SAMSUNG EP-TA800 TIPO C 25W;CANGURO / Cargadores y Cables 14350108 / Conectores
[ADA164454160730, 8806090104527, 8806090104534] ADAPTADOR SAMSUNG EP-TA845 TIPO C - 45W;CANGURO / Cargadores y Cables 14350108 / Adaptador
[CAR156396,] ADAPTADOR SAMSUNG S10 CARGA RAPIDA 3.1 AMP;CANGURO / Cargadores y Cables 14350108 / Cargadores
[CGCB1479,] ADAPTADOR SAMSUNG S22 35W TIPO C A TIPO C 5G;CANGURO / Cargadores y Cables 14350108 / Cargadores
[ADA162938159307] ADAPTADOR SAMSUNG TIPO C DE 45W 1.8MTS CON CABLE TIPO C ;CANGURO / Cargadores y Cables 14350108 / Adaptador
[ADA160789,] ADAPTADOR TIPO C 4 EN 1 ;CANGURO / Cargadores y Cables 14350108 / Adaptador
[UTIL10750, 728662223376] ADAPTADOR TIPO C A HDMI;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MOBILIARIO Y EQUIPO DE OFICINA
[ACCR0920, 6971916563795] ADAPTADOR TIPO C A JACK 3.5 MM YOOKIE ;CANGURO / Accesorio 14350101 / Linea Accesorios
[CAR4247140635, CGCB1931, CGCB24111516, 6902803190206] ADAPTADOR TOXIIK (1 PD) 35W;CANGURO / Cargadores y Cables 14350108 / Cargadores
[ADA168031164120, 6902803190282] ADAPTADOR TOXIIK JACK A TIPO C ;CANGURO / Cargadores y Cables 14350108 / Adaptador
[CON170796166716, 6902803190275] ADAPTADOR TOXIIK TOK JACK IP LIGHTNING A JACK 3.5MM;CANGURO / Cargadores y Cables 14350108 / Conectores
[ADA168657164643, 6925121966735] ADAPTADOR TOXIIK TOK-BT350 DE MUSICA BLUETOOTH PARA AUTO MANOS LIBRES AUX ;CANGURO / Cargadores y Cables 14350108 / Adaptador
[ADA154570151099, CGCB24111514,6902803190237] ADAPTADOR TOXIIK TOK-TA800 TIPO C 25W;CANGURO / Cargadores y Cables 14350108 / Adaptador
[ADA155630152159, CGCB24111515, 6902803190244] ADAPTADOR TOXIIK TOK-TA845 (1PD) TIPO C 45W;CANGURO / Cargadores y Cables 14350108 / Adaptador
[ADA162770, 6933138603673] ADAPTADOR TOXIIK TOK280 USB-C MACHO A USB-A HEMBRA 3.1 10Gbps (EMPAQUE);CANGURO / Cargadores y Cables 14350108 / Adaptador
[CGCB1946, CGCB24111552] ADAPTADOR TOXIIK USB A TIPO C 25W TOK-25WPD;CANGURO / Cargadores y Cables 14350108 / Cargadores
[UTIL9372, 6935364094614] ADAPTADOR TP- LINK USB 2.0;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / EQUIPOS Y PARTES ELECTRONICAS DE OFICINAS
[UTIL1003, 6935364072599] ADAPTADOR TP-LINK TIPO C ARJ45 MODELO UE300C;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / EQUIPOS Y PARTES ELECTRONICAS DE OFICINAS
[CAR41663,] ADAPTADOR UNIVERSAL LDNIO LD-Z4;CANGURO / Cargadores y Cables 14350108 / Cargadores
